Date,Site,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/3/2016,Plunkett,Blue vane,4,0,1,0,0,0,0,0,0,0
5/3/2016,Plunkett,Bowls,4,2,1,0,0,0,0,0,0,0
5/3/2016,Plunkett,Non-Target,3,0,0,0,0,0,0,0,0,0
5/3/2016,Bowman,Blue vane,2,0,1,0,0,0,0,0,0,0
5/3/2016,Bowman,Bowls,2,5,1,0,0,0,0,0,0,0
5/3/2016,Bowman,Non-Target,0,0,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Blue vane,3,0,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Bowls,1,5,0,0,0,0,0,0,0,0
5/4/2016,Kaldenberg,Non-Target,1,0,0,0,0,0,0,0,0,0
5/4/2016,McClellan,Blue vane,0,6,2,0,0,0,0,0,0,0
5/4/2016,McClellan,Bowls,0,3,0,0,0,0,0,0,0,0
5/4/2016,McClellan,Non-Target,0,0,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Blue vane,0,3,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Bowls,0,10,0,0,0,0,0,0,0,0
5/12/2016,Sheller,Non-Target,0,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Blue vane,1,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Bowls,2,0,0,0,0,0,0,0,0,0
5/12/2016,Sloan,Non-Target,1,0,0,0,0,0,0,0,0,0
5/15/2016,Cretsinger,Blue vane,12,4,1,1,0,0,0,0,0,0
5/15/2016,Cretsinger,Bowls,40,61,0,0,0,0,2,0,0,0
5/15/2016,Cretsinger,Non-Target,3,0,0,0,0,0,0,0,0,0
5/15/2016,Peckumn,Blue vane,20,2,0,1,0,0,0,0,0,0
5/15/2016,Peckumn,Bowls,30,36,0,0,2,0,2,0,0,0
5/15/2016,Peckumn,Non-Target,13,0,0,0,0,0,0,0,0,0
5/18/2016,Plunkett,Blue vane,5,1,4,0,0,0,0,0,0,0
5/18/2016,Plunkett,Bowls,28,3,1,1,0,0,1,1,0,0
5/18/2016,Plunkett,Non-Target,5,0,0,0,0,0,0,0,0,0
5/18/2016,Bowman,Blue vane,3,0,0,1,0,0,0,0,0,0
5/18/2016,Bowman,Bowls,14,5,0,0,0,0,1,0,0,0
5/18/2016,Bowman,Non-Target,0,0,0,0,0,0,0,0,0,0
5/19/2016,Kaldenberg,Blue vane,9,0,0,1,0,0,0,0,0,0
5/19/2016,Kaldenberg,Bowls,59,8,0,1,0,0,2,2,0,0
5/19/2016,Kaldenberg,Non-Target,3,0,0,0,0,0,0,0,0,0
5/19/2016,McClellan,Blue vane,17,0,1,0,0,0,0,0,0,0
5/19/2016,McClellan,Bowls,52,5,1,1,0,0,0,0,0,0
5/19/2016,McClellan,Non-Target,0,0,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Blue vane,4,0,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Bowls,31,8,0,0,0,0,0,0,0,0
5/22/2016,Sheller,Non-Target,4,0,0,0,0,0,0,0,0,0
5/22/2016,Sloan,Blue vane,12,0,0,0,0,0,0,0,0,0
5/22/2016,Sloan,Bowls,109,8,1,0,0,0,0,2,0,0
5/22/2016,Sloan,Non-Target,2,0,0,0,0,0,0,0,0,0
5/29/2016,Cretsinger,Blue vane,45,14,0,0,0,0,0,0,0,0
5/29/2016,Cretsinger,Bowls,123,70,1,0,0,0,0,2,0,0
5/29/2016,Cretsinger,Non-Target,17,0,0,0,0,0,0,0,0,0
5/29/2016,Peckumn,Blue vane,20,7,0,0,0,0,0,0,0,0
5/29/2016,Peckumn,Bowls,89,144,2,0,1,0,1,0,0,0
5/29/2016,Peckumn,Non-Target,23,0,0,0,0,0,0,0,0,0
6/15/2016,Plunkett,Blue vane,9,2,5,0,0,0,0,0,0,0
6/15/2016,Plunkett,Bowls,30,34,60,1,0,0,0,0,0,1
6/15/2016,Plunkett,Non-Target,3,0,0,0,0,0,0,0,0,0
6/15/2016,Bowman,Blue vane,15,2,0,0,0,0,0,1,0,0
6/15/2016,Bowman,Bowls,24,6,6,0,2,0,0,1,0,0
6/15/2016,Bowman,Non-Target,1,0,0,0,0,0,0,0,0,0
6/16/2016,Kaldenberg,Blue vane,8,3,0,0,2,1,0,0,0,0
6/16/2016,Kaldenberg,Bowls,19,12,7,0,3,1,0,1,0,0
6/16/2016,Kaldenberg,Non-Target,7,0,0,0,0,0,0,0,0,0
6/16/2016,McClellan,Blue vane,9,0,2,0,0,0,0,0,0,1
6/16/2016,McClellan,Bowls,37,41,8,18,1,0,0,0,0,0
6/16/2016,McClellan,Non-Target,3,0,0,0,0,0,0,0,0,0
6/17/2016,Sloan,Blue vane,4,10,3,0,1,0,0,0,0,0
6/17/2016,Sloan,Bowls,25,87,158,0,0,0,1,0,0,0
6/17/2016,Sloan,Non-Target,1,0,0,0,0,0,0,0,0,0
6/21/2016,Sheller,Blue vane,8,16,0,3,0,0,0,1,0,0
6/21/2016,Sheller,Bowls,21,55,0,0,1,0,2,0,0,1
6/21/2016,Sheller,Non-Target,7,0,0,0,0,0,0,0,0,0
6/22/2016,Cretsinger,Blue vane,15,2,0,0,0,0,0,0,0,0
6/22/2016,Cretsinger,Bowls,30,40,2,0,0,1,1,0,0,0
6/22/2016,Cretsinger,Non-Target,1,0,0,0,0,0,0,0,0,0
6/23/2016,Peckumn,Blue vane,12,9,0,1,1,0,0,0,0,0
6/23/2016,Peckumn,Bowls,47,53,3,1,2,0,1,1,0,2
6/23/2016,Peckumn,Non-Target,9,0,0,0,0,0,0,0,0,0
7/20/2016,Plunkett,Blue vane,34,0,5,3,0,0,0,0,0,1
7/20/2016,Plunkett,Bowls,141,22,0,5,0,0,3,3,0,0
7/20/2016,Plunkett,Non-Target,90,0,0,0,0,0,0,0,0,0
7/20/2016,Bowman,Blue vane,6,6,0,0,0,0,0,0,0,2
7/20/2016,Bowman,Bowls,5,22,2,1,3,1,5,1,0,0
7/20/2016,Bowman,Non-Target,1,0,0,0,0,0,0,0,0,0
7/21/2016,Kaldenberg,Blue vane,42,1,2,0,0,0,0,0,0,1
7/21/2016,Kaldenberg,Bowls,78,16,2,1,0,0,2,1,0,0
7/21/2016,Kaldenberg,Non-Target,46,0,0,0,0,0,0,0,0,0
7/22/2016,McClellan,Blue vane,18,3,3,1,0,0,0,0,0,1
7/22/2016,McClellan,Bowls,42,25,1,0,0,0,0,0,0,1
7/22/2016,McClellan,Non-Target,5,0,0,0,0,0,0,0,0,0
7/25/2016,Sloan,Blue vane,37,6,0,1,0,0,1,1,0,0
7/25/2016,Sloan,Bowls,52,7,18,0,3,0,6,0,0,0
7/25/2016,Sloan,Non-Target,30,0,0,0,0,0,0,0,0,0
7/26/2016,Sheller,Blue vane,12,16,0,0,1,0,0,0,0,0
7/26/2016,Sheller,Bowls,22,23,0,0,0,0,5,0,0,0
7/26/2016,Sheller,Non-Target,21,0,0,0,0,0,0,0,0,0
7/27/2016,Cretsinger,Blue vane,4,1,3,0,0,0,0,1,0,0
7/27/2016,Cretsinger,Bowls,9,26,1,3,0,0,0,0,0,0
7/27/2016,Cretsinger,Non-Target,21,0,0,0,0,0,0,0,0,0
7/27/2016,Peckumn,Blue vane,11,12,1,0,0,0,0,0,0,0
7/27/2016,Peckumn,Bowls,48,44,3,0,0,0,0,0,0,0
7/27/2016,Peckumn,Non-Target,43,0,0,0,0,0,0,0,0,0
8/5/2016,Cretsinger,Blue vane,5,8,2,2,1,0,0,0,0,1
8/5/2016,Cretsinger,Bowls,17,28,3,0,1,0,0,0,0,1
8/5/2016,Cretsinger,Non-Target,28,0,0,0,0,0,0,0,0,0
8/14/2016,Plunkett,Blue vane,21,2,3,1,0,0,0,0,0,1
8/14/2016,Plunkett,Bowls,33,15,2,6,2,0,7,0,0,0
8/14/2016,Plunkett,Non-Target,380,0,0,0,0,0,0,0,0,0
8/15/2016,Bowman,Blue vane,2,7,4,0,0,0,0,0,0,0
8/15/2016,Bowman,Bowls,1,51,6,0,1,0,1,0,0,0
8/15/2016,Bowman,Non-Target,1,0,0,0,0,0,0,0,0,0
8/16/2016,Kaldenberg,Blue vane,5,2,0,1,0,0,0,0,0,0
8/16/2016,Kaldenberg,Bowls,8,11,2,6,0,0,1,0,0,0
8/16/2016,Kaldenberg,Non-Target,16,0,0,0,0,0,0,0,0,0
8/16/2016,McClellan,Blue vane,10,2,5,0,0,0,0,0,0,2
8/16/2016,McClellan,Bowls,12,16,2,0,1,0,1,0,0,0
8/16/2016,McClellan,Non-Target,0,0,0,0,0,0,0,0,0,0
8/17/2016,Sloan,Blue vane,4,51,8,0,0,0,0,0,0,0
8/17/2016,Sloan,Bowls,8,82,124,4,1,0,3,0,0,0
8/17/2016,Sloan,Non-Target,8,0,0,0,0,0,0,0,0,0
8/18/2016,Sheller,Blue vane,11,18,1,0,0,0,0,0,0,0
8/18/2016,Sheller,Bowls,11,28,3,0,0,2,0,0,0,0
8/18/2016,Sheller,Non-Target,32,0,0,0,0,0,0,0,0,0
8/22/2016,Cretsinger,Blue vane,4,3,3,1,0,2,0,0,0,1
8/22/2016,Cretsinger,Bowls,10,12,21,2,0,0,0,0,0,0
8/22/2016,Cretsinger,Non-Target,17,0,0,0,0,0,0,0,0,0
8/31/2016,Peckumn,Blue vane,6,10,5,0,0,0,1,0,0,1
8/31/2016,Peckumn,Bowls,11,34,10,2,0,0,2,0,0,0
8/31/2016,Peckumn,Non-Target,24,0,0,0,0,0,0,0,0,0
,,Total,2664,1392,517,71,30,8,52,19,0,18
