Species,Plunkett,Bowman,Kaldenberg,McClellan,Sloan,Sheller,Cretsinger,Peckumn,NealSmith,Elkader,Greving
Agapostemonsericeus,0,0,0,0,0,0,1,0,0,1,0
Agapostemonsplendens,0,0,3,0,3,0,0,0,1,0,0
Agapostemontexanus,0,0,1,1,15,1,3,0,0,2,11
Agapostemonvirescens,35,16,60,73,25,18,57,30,150,31,29
Andrenaaliciae,0,0,0,0,0,0,0,0,0,1,0
Andrenaalleghaniensis,1,0,0,0,0,0,0,0,0,0,0
Andrenaasteris,0,0,0,0,2,0,0,0,1,0,2
Andrenabarbara,0,0,0,0,0,0,0,0,1,0,0
Andrenacommoda,1,5,0,0,0,0,2,1,11,2,3
Andrenacrataegi,0,0,0,0,0,0,0,0,0,1,0
Andrenacressoniicressonii,1,0,1,0,0,0,1,1,7,1,0
Andrenafragilis,0,0,0,0,0,0,0,0,2,0,0
Andrenafrigida,0,0,1,0,0,0,0,0,0,0,0
Andrenageranii,0,0,0,0,0,0,0,0,0,1,0
Andrenahirticincta,0,0,0,0,0,0,0,0,0,1,0
Andrenaimitatrix,1,0,0,0,0,0,0,0,0,1,0
Andrenaintegra,0,0,0,0,0,0,0,0,1,1,0
Andrenamelanochroa,0,0,0,0,0,0,0,0,1,0,0
Andrenanivalis,0,0,0,0,0,0,0,0,3,0,0
Andrenanuda,1,0,0,0,0,0,0,0,0,1,0
Andrenaplatyparia,0,0,0,1,0,0,0,0,0,0,0
Andrenapolemonii,0,0,1,0,0,0,0,0,0,0,0
Andrenarobertsonii,0,0,0,0,0,0,0,0,0,1,1
Andrenarudbeckiae,0,0,3,0,1,0,11,10,13,0,27
Andrenasimplex,0,0,0,0,0,0,1,0,0,1,1
Andrenaspiraeana,1,0,0,0,0,0,0,0,0,0,0
Andrenaspp.,6,0,3,5,0,2,1,0,41,7,18
Andrena spp.canadensisdistans,0,0,0,0,0,0,4,1,0,0,0
Andrenawilkella,1,1,1,2,0,0,0,0,19,1,1
Andrenawilmattae,5,0,0,0,0,0,0,0,0,0,0
Andrenaw-scripta,0,0,0,0,0,0,0,0,0,1,0
Andrenaziziae,0,0,0,0,0,0,1,0,0,1,3
Anthophorabomboides,0,0,0,0,0,0,1,0,0,1,0
Anthophoraterminalis,0,0,1,0,0,1,0,0,0,0,1
Anthophorawalshii,0,0,1,0,0,0,0,0,0,0,0
Apismellifera,61,7,2,0,0,0,3,14,14,83,0
Ashmeadiellabucconis,0,0,1,0,2,0,0,0,0,2,0
Augochlorapura,0,0,0,0,0,0,0,0,0,1,0
Augochlorellaspp.,74,11,76,19,13,3,33,23,61,20,59
Augochloropsisfulgida,0,0,0,0,0,0,0,0,2,2,0
Augochloropsismetallica,0,0,0,0,0,0,0,0,3,0,1
Bombusauricomus,0,1,0,0,0,0,0,0,0,1,1
Bombusbimaculatus,3,2,0,1,0,1,0,0,0,3,0
Bombusborealis,0,0,0,0,0,0,0,0,0,1,0
Bombuscitrinus,0,0,0,0,0,0,0,0,1,0,0
Bombusfervidus,0,0,0,1,6,1,0,0,0,2,0
Bombusfraternus,0,0,0,0,0,0,1,0,0,0,0
Bombusgriseocollis,14,1,7,0,1,3,1,1,3,1,2
Bombusimpatiens,6,0,1,1,0,6,1,0,1,3,0
Bombuspensylvanicus,2,0,3,4,4,0,5,1,4,0,3
Bombusspp.,0,1,0,0,0,0,0,0,1,0,0
Bombusvagans,1,0,1,0,0,1,0,0,0,0,0
Calliopsisandreniformis,0,0,0,0,0,1,0,0,0,1,0
Calliopsiscoloradensis,0,0,0,0,0,0,0,0,0,1,0
Ceratinacalcarata,0,0,1,0,2,0,8,0,2,7,0
Ceratinadupla,0,0,0,0,0,0,0,0,0,1,0
Ceratinamikmaqi,0,0,0,0,1,0,1,0,1,2,0
Ceratinaspp.,0,0,13,1,18,3,44,1,12,20,2
Ceratinastrenua,0,0,0,0,0,0,0,0,1,0,0
Coelioxysoctodentata,0,0,0,0,0,0,0,0,1,0,0
Coelioxysrufitarsis,0,0,0,0,0,0,0,0,0,1,0
Coelioxyssayi,0,0,0,0,0,0,0,0,1,0,1
Colletesspp.,0,0,0,0,0,1,0,0,0,0,0
Dufoureanovaeangliae,0,0,0,0,0,0,0,0,0,1,0
Euceraatriventris,0,0,0,0,0,0,0,0,0,3,0
Eucerahamata,31,79,20,19,14,1,15,1,44,18,12
Florileguscondignus,0,0,0,0,0,0,0,0,1,0,0
Halictusconfusus,0,0,2,8,0,8,21,2,72,8,3
Halictusligatus,3,2,16,9,3,0,25,20,40,26,17
Halictusparallelus,22,3,28,18,4,0,12,1,47,2,5
Halictusrubicundus,0,1,2,0,0,0,15,0,28,2,2
Heriadescarinatus,0,0,0,0,0,0,2,0,0,0,0
"Hoplitis
pilosifrons",0,0,3,0,2,0,6,0,0,1,3
Hylaeusaffinis,0,0,0,0,1,0,4,1,10,3,5
Hylaeuslectocephalus,0,0,0,0,0,0,0,0,2,0,0
Hylaeusmesillae,0,0,0,0,1,0,3,0,8,5,7
Hylaeusnelumbonis,0,0,0,0,0,0,0,1,0,0,0
Hylaeusspp.,0,0,1,1,2,0,11,3,8,8,3
LasioglossumDialictusspp.,87,15,211,129,156,124,175,64,236,173,238
LasioglossumDialictusspp.orangeabdomen,1,0,0,0,0,0,0,0,0,3,0
LasioglossumEvylaeusfedorense,0,0,0,0,0,1,0,0,0,0,0
LasioglossumEvylaeusnelumbonis,0,0,0,0,0,0,0,0,0,1,0
LasioglossumEvylaeuspectorale,0,0,1,0,4,0,0,3,0,2,0
LasioglossumEvylaeusspp.,1,0,0,1,0,0,0,0,2,1,3
LasioglossumEvylaeustruncatum,0,0,0,0,0,0,0,0,0,12,0
Lasioglossums.s.acuminatum,0,0,0,3,4,12,3,3,1,4,0
Lasioglossums.s.athabascense,1,0,0,0,0,1,0,0,1,3,0
Lasioglossums.s.coriaceum,2,0,3,0,0,27,0,0,4,2,2
Lasioglossums.s.fuscipenne,0,0,0,0,0,0,0,0,0,10,0
Lasioglossums.s.leucozonium,0,0,0,0,0,0,0,0,0,4,0
Lasioglossums.s.paraforbesii,2,0,0,0,0,0,0,0,0,0,0
Lasioglossums.s.spp.,0,0,0,0,0,6,0,4,0,4,0
Lasioglossums.s.zonulum,0,0,0,0,1,0,0,0,0,21,0
Lasioglossumspp.,4,0,8,1,3,19,39,5,21,19,5
Megachilebrevis,3,0,9,1,0,0,3,0,12,1,10
Megachilecampanulae,0,0,0,0,0,1,0,0,0,0,0
Megachilefrigida,0,0,1,0,0,0,0,0,0,0,1
Megachileinermis,0,0,0,0,0,1,0,0,0,0,0
Megahcilelatimanus,4,0,1,1,0,0,3,0,1,8,3
Megachilemendica,1,0,0,0,0,0,0,1,0,0,0
Megachilemontivaga,0,0,0,0,0,0,0,0,0,0,1
Megachilepetulans,0,0,0,0,0,0,0,0,1,0,0
Megachilepugnata,0,0,0,0,0,0,0,0,0,1,0
Melissodesagilis,1,1,0,6,0,2,5,1,1,0,0
Melissodesapicata,0,0,0,0,0,1,0,0,0,0,0
Melissodesbimaculata,25,4,53,37,75,44,7,8,20,24,17
Melissodescommunis,0,1,2,0,0,2,2,1,0,1,1
Melissodescomptoides,0,2,3,2,0,4,1,0,17,0,7
Melissodescoreopsis,0,0,0,0,0,0,0,0,3,0,0
Melissodesdenticulata,0,0,0,0,0,1,0,0,0,0,0
Melissodesdesponsa,0,0,8,3,4,3,0,0,2,9,1
Melissodesdruriella,0,0,0,0,0,0,3,0,1,0,0
Melissodesnivea,0,0,1,1,0,0,1,0,0,0,0
Melissodesspp.,0,0,0,0,0,0,0,0,1,0,0
Melissodessubillata,0,0,0,0,0,0,0,0,1,0,0
Melissodestrinodis,2,2,9,2,2,17,14,7,11,2,11
Melissodesvernoniae,0,1,0,0,0,0,0,0,0,0,0
Melissodeswheeleri,0,0,0,0,1,0,0,0,0,0,0
Nomadaarticulata,1,0,0,0,0,0,0,1,1,1,3
Nomadaaustralis,0,0,0,0,0,0,0,0,0,1,0
Nomadadenticulata,0,0,0,0,1,0,0,0,0,1,0
Nomadadepressa,0,0,0,0,1,0,0,1,0,2,0
Nomadaillinoensis,0,0,0,0,0,0,0,0,0,1,0
Nomadaimbricata,0,0,0,0,0,0,0,0,0,1,0
Nomadaintegerrima,0,0,0,0,0,0,0,0,0,1,0
Nomadaparva,0,0,0,0,0,0,0,0,0,3,0
Nomadaspp.,0,0,0,0,0,0,1,0,2,1,0
Nomadaspp.2,0,0,0,0,0,0,0,0,1,1,0
Nomadasuperba,0,0,0,0,0,0,0,0,1,0,0
Nomiaspp.,0,1,0,0,0,0,0,0,0,0,0
Nomiauniversitatis,0,0,0,0,0,0,0,0,3,0,3
Osmiabucephala,0,0,0,0,0,0,0,0,1,0,0
Osmiacollinsiae,0,0,0,0,0,0,0,0,0,1,0
Osmiainermis,0,0,0,0,0,0,0,0,0,1,0
Osmiamichiganensis,0,0,0,0,1,0,0,0,0,0,0
Osmiapumila,0,0,0,0,0,0,1,0,0,0,0
Osmiaspp.,0,0,0,0,0,0,0,0,0,1,0
Peponapispruinosa,0,1,1,0,0,0,0,0,0,0,0
Perditaspp.,0,0,1,0,0,0,0,0,3,0,1
Pseudopanurgusalbitarsis,0,0,0,0,1,0,0,0,2,0,0
Spechodesspp.,1,0,0,0,0,0,0,0,0,4,0
Stelisspp.,0,0,0,1,0,0,0,0,0,0,0
Svastraobliqua,1,1,0,0,0,0,0,0,0,1,0
Triepeolusconcavus,0,0,0,0,0,0,0,0,0,0,1
Tripeolusdonatus,0,0,0,0,0,0,0,0,1,0,0
Triepeolushelianthi,0,0,0,0,0,0,0,0,1,0,0
Triepeoluslunatus,0,0,0,0,0,1,0,0,5,1,1
Triepeolusnigrihirtus,0,0,0,0,0,0,0,0,1,0,0
Triepeolussimplex,0,0,0,0,0,0,0,0,1,0,0
Triepeolusspp.,0,0,0,0,0,1,0,0,0,0,0
Xylocopavirginica,0,0,1,0,0,0,0,0,0,0,0
