Date,High temp,Average temp,Low temp,Average wind speed,Maximum wind speed,Precipitation
5/1/2016,48.7,46.3,44.4,0,8,0.41
5/2/2016,64.2,51.9,41,0,11,0.01
5/3/2016,69.1,57.4,43.9,2,14,0
5/4/2016,67.1,58,48.2,2,14,0
5/5/2016,71.2,57,39,0,8,0
5/6/2016,85.1,69.2,52,2,13,0
5/7/2016,70.9,66.2,55,1,10,0.01
5/8/2016,71.2,62.7,54.9,2,13,0
5/9/2016,64.8,59.7,57,2,12,0.07
5/10/2016,75.9,65.5,58.6,0,7,0.01
5/11/2016,70.5,61,56.1,0,9,0.2
5/12/2016,64.8,57.7,48.7,3,17,0.01
5/13/2016,70.9,52.6,43.9,2,15,0.33
5/14/2016,56.3,47.2,38.7,3,16,0
5/15/2016,66.7,54.6,40.6,1,12,0
5/16/2016,62.4,54.9,50.5,1,10,0
5/17/2016,65.7,54.5,43,0,7,0.01
5/18/2016,70.3,57.9,44.8,0,9,0
5/19/2016,73.6,61.6,43.9,1,13,0
5/20/2016,70.3,62.4,52.9,0,9,0
5/21/2016,78.3,64.3,46.9,0,7,0
5/22/2016,82.4,68.7,49.8,2,18,0
5/23/2016,82.4,71.5,59.7,3,16,0
5/24/2016,85.5,73.7,64.4,1,8,0
5/25/2016,82.6,72.2,64.2,1,9,0.56
5/26/2016,81.5,70.4,61.5,1,15,0.44
5/27/2016,80.1,69.2,60.8,1,14,0.02
5/28/2016,74.8,68.4,61.3,2,14,0.14
5/29/2016,82.8,71.4,60.3,2,10,0
5/30/2016,88.7,76.7,64,1,11,0
5/31/2016,80.4,69.8,63.1,1,13,0
6/1/2016,78.6,69.6,61.2,1,12,0.01
6/2/2016,81.9,70.1,55,0,9,0
6/3/2016,86.2,75.6,63.9,2,14,0
6/4/2016,82.2,70.2,61.5,2,13,0.24
6/5/2016,85.1,72.1,58.1,2,15,0
6/6/2016,83.5,72.7,60.6,3,20,0
6/7/2016,76.8,66,54.7,1,10,0
6/8/2016,83.7,70.7,54.1,2,11,0
6/9/2016,92.7,80.3,66.4,3,12,0
6/10/2016,93,83.3,73.6,2,12,0
6/11/2016,89.4,78.7,68.9,1,14,0.18
6/12/2016,91.9,83.1,75,1,12,0
6/13/2016,91.8,79,69.1,1,10,0.15
6/14/2016,91.4,80.8,69.3,2,14,0.66
6/15/2016,94.5,80.4,66.6,1,11,0.02
6/16/2016,88.3,78.6,67.3,0,7,0
6/17/2016,88,76.3,64.2,1,13,0
6/18/2016,90.1,78.1,64.9,1,10,0
6/19/2016,90.9,79.7,63.7,1,12,0
6/20/2016,89.4,78.9,72,1,11,0.02
6/21/2016,90.9,77.7,66,1,11,0.12
6/22/2016,92.1,80.2,70.7,2,17,0
6/23/2016,83.3,74.9,65.5,2,11,0
6/24/2016,87.4,83.2,75.9,3,10,0
6/25/2016,92.5,82.6,72.5,2,12,0
6/26/2016,89.6,80.7,72.3,1,14,0.2
6/27/2016,88.9,78.6,67.3,0,6,0
6/28/2016,80.8,71.3,61.2,0,7,0
6/29/2016,79.2,69,59.9,1,10,0
6/30/2016,82.9,69.8,63,1,12,0.73
7/1/2016,77.4,68.2,58.6,0,8,0.01
7/2/2016,65.8,63,59,1,12,0.05
7/3/2016,71.4,64.1,57.2,1,12,0
7/4/2016,78.1,68.9,61.9,0,7,0.01
7/5/2016,90.9,79.7,67.3,2,13,0
7/6/2016,88.5,78.5,67.6,2,24,0.6
7/7/2016,85.3,76.2,67.1,1,10,0.34
7/8/2016,86.2,76.8,67.8,1,11,0
7/9/2016,86.4,74.7,61.5,1,9,0
7/10/2016,83.5,74.5,67.1,3,15,0
7/11/2016,92.7,82.7,72.9,4,20,0
7/12/2016,86.2,75.5,66,2,19,1.2
7/13/2016,85.8,76.9,68.2,1,15,1.36
7/14/2016,85.1,75.8,67.1,1,10,0
7/15/2016,76.5,67.2,58.8,0,7,0
7/16/2016,81.5,72.2,60.8,2,13,0
7/17/2016,88.2,75.9,64.2,2,13,1.25
7/18/2016,86.4,77.8,69.3,1,14,0.58
7/19/2016,74.7,71.8,69.3,1,14,2.72
7/20/2016,92.8,80.7,69.1,2,14,0
7/21/2016,95.4,86.1,78.1,2,10,0
7/22/2016,91.4,80.6,73.2,2,19,0.01
7/23/2016,92.1,84.5,75,1,11,0
7/24/2016,88.2,82.1,73.2,1,11,0
7/25/2016,86.7,76.4,65.3,0,7,0
7/26/2016,87.1,76.5,64,0,8,0
7/27/2016,87.1,76.3,64.8,0,7,0
7/28/2016,81.3,73.6,67.5,1,9,0
7/29/2016,72.1,67.2,61.9,0,6,0.04
7/30/2016,80.1,71.2,65.3,0,4,0
7/31/2016,85.3,74.8,64.2,1,13,0
8/1/2016,78.4,72.7,69.1,1,13,0
8/2/2016,78.6,72.3,68.4,0,13,1.71
8/3/2016,88.7,78.2,66.6,1,10,0
8/4/2016,94.3,81.9,72.7,2,17,0.22
8/5/2016,81.5,73.6,66.2,0,9,0
8/6/2016,81.9,70.6,61.3,0,6,0
8/7/2016,81.7,70.2,62.4,0,7,0
8/8/2016,83.5,73.8,64,0,10,0
8/9/2016,88.5,78.5,70,0,8,0
8/10/2016,91.9,81.6,71.4,2,15,0
8/11/2016,91.6,80,70,2,14,0.79
8/12/2016,82.4,75.7,70.9,0,7,0.45
8/13/2016,84.4,74,64.2,0,10,0
8/14/2016,86.2,76,66,0,4,0
8/15/2016,84.9,73.6,65.8,0,6,0
8/16/2016,88.2,77.4,67.5,0,9,0
8/17/2016,88.5,77.7,66.9,0,10,0.21
8/18/2016,92.8,81.4,72,1,10,0
8/19/2016,90.5,78.9,67.6,1,10,0.4
8/20/2016,73.4,67.4,61.5,1,13,0.28
8/21/2016,76.1,65.7,56.5,0,8,0
8/22/2016,84,71.5,60.1,2,13,0
8/23/2016,83.7,73.4,63,3,19,0
8/24/2016,85.3,74.7,66.6,1,18,1.39
8/25/2016,75.2,69.3,63.5,0,4,0.05
8/26/2016,76.3,68.1,61.9,0,6,0.3
8/27/2016,82.4,71.1,64.4,0,6,0.3
8/28/2016,89.1,76.3,66.6,0,9,0.01
8/29/2016,87.6,74.8,69.6,0,11,0.06
8/30/2016,83.1,74.6,68.9,0,4,0.06
8/31/2016,82.2,71,62.8,0,7,0
